block_size,method,rand,adjusted-rand,jaccard,left-wallace,right-wallace,adjusted-left-wallace,adjusted-right-wallace,fowlkes-mallows,adjusted-fowlkes-mallows,mutual-information,nid,classification,incongruence,normalized-incongruence,precision,recall,f1,matthews
12288,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725005,0.57715326313275,0.8625,11,0.1375,0.875,0.8536585365853658,0.8641975308641976,0.7252266687565153
13312,newman,0.7075949367088608,0.41539595079446434,0.5501460564751705,0.7243589743589743,0.6958128078817734,0.4329260149572649,0.3992302955665024,0.7099424285553578,0.4155650843060609,0.3545207332441122,0.6454792667558877,0.825,14,0.175,0.725,0.90625,0.8055555555555555,0.6634034720037774
14336,newman,0.7417721518987341,0.48352775285219846,0.5870445344129555,0.7435897435897436,0.7360406091370558,0.4884744884744885,0.4786802030456853,0.7398055473027098,0.48354024468603124,0.3973126097494865,0.6026873902505134,0.85,12,0.15,0.9,0.8181818181818182,0.8571428571428572,0.7035264706814484
15360,newman,0.7243670886075949,0.4487562587622672,0.5662350597609562,0.7288461538461538,0.7173501577287066,0.455970695970696,0.44176656151419563,0.723075309647273,0.44878448152861555,0.36960519698735017,0.6303948030126498,0.8375,13,0.1625,0.775,0.8857142857142857,0.8266666666666667,0.680336051416609
16384,newman,0.7243670886075949,0.4487562587622672,0.5662350597609562,0.7288461538461538,0.7173501577287066,0.455970695970696,0.44176656151419563,0.723075309647273,0.44878448152861555,0.36960519698735017,0.6303948030126498,0.8375,13,0.1625,0.775,0.8857142857142857,0.8266666666666667,0.680336051416609
17408,newman,0.7417721518987341,0.48346153846153844,0.5853658536585366,0.7384615384615385,0.7384615384615385,0.48346153846153844,0.48346153846153844,0.7384615384615385,0.48346153846153844,0.39015969528359956,0.6098403047164005,0.85,12,0.15,0.85,0.85,0.85,0.7
18432,newman,0.6759493670886076,0.35231385108086466,0.5174363807728558,0.7038461538461539,0.6614457831325301,0.3761025641025641,0.331355421686747,0.682316693651554,0.3526603007196324,0.3074101695961334,0.6925898304038667,0.8,16,0.2,0.925,0.74,0.8222222222222222,0.6196773353931868
19456,newman,0.7417721518987341,0.48352775285219846,0.5870445344129555,0.7435897435897436,0.7360406091370558,0.4884744884744885,0.4786802030456853,0.7398055473027098,0.48354024468603124,0.3973126097494865,0.6026873902505134,0.85,12,0.15,0.9,0.8181818181818182,0.8571428571428572,0.7035264706814484
20480,newman,0.7417721518987341,0.48352775285219846,0.5870445344129555,0.7435897435897436,0.7360406091370558,0.4884744884744885,0.4786802030456853,0.7398055473027098,0.48354024468603124,0.3973126097494865,0.6026873902505134,0.85,12,0.15,0.9,0.8181818181818182,0.8571428571428572,0.7035264706814484
21504,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725005,0.57715326313275,0.8625,11,0.1375,0.875,0.8536585365853658,0.8641975308641976,0.7252266687565153
22528,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725005,0.57715326313275,0.8625,11,0.1375,0.875,0.8536585365853658,0.8641975308641976,0.7252266687565153
23552,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725005,0.57715326313275,0.8625,11,0.1375,0.875,0.8536585365853658,0.8641975308641976,0.7252266687565153
24576,newman,0.6468354430379747,0.29437187860161357,0.4904109589041096,0.6884615384615385,0.6302816901408451,0.3238588334742181,0.26980633802816906,0.6587296122526335,0.29496458262412156,0.26469528184976004,0.7353047181502399,0.775,18,0.225,0.625,0.8928571428571429,0.7352941176470589,0.5765566601970551
25600,newman,0.7075949367088608,0.4152648274536192,0.5470588235294118,0.7153846153846154,0.6992481203007519,0.42494589809167815,0.406015037593985,0.707270349724749,0.41531879354565854,0.3435714035989787,0.6564285964010212,0.825,14,0.175,0.9,0.782608695652174,0.8372093023255814,0.6574382586514258
26624,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725005,0.57715326313275,0.8625,11,0.1375,0.875,0.8536585365853658,0.8641975308641976,0.7252266687565153
27648,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725005,0.57715326313275,0.8625,11,0.1375,0.875,0.8536585365853658,0.8641975308641976,0.7252266687565153
28672,newman,0.6759493670886076,0.35231385108086466,0.5174363807728558,0.7038461538461539,0.6614457831325301,0.3761025641025641,0.331355421686747,0.682316693651554,0.3526603007196324,0.3074101695961334,0.6925898304038667,0.8,16,0.2,0.925,0.74,0.8222222222222222,0.6196773353931868
29696,newman,0.7243670886075949,0.4487562587622672,0.5662350597609562,0.7288461538461538,0.7173501577287066,0.455970695970696,0.44176656151419563,0.723075309647273,0.44878448152861555,0.36960519698735017,0.6303948030126498,0.8375,13,0.1625,0.775,0.8857142857142857,0.8266666666666667,0.680336051416609
30720,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725005,0.57715326313275,0.8625,11,0.1375,0.875,0.8536585365853658,0.8641975308641976,0.7252266687565153
31744,newman,0.7075949367088608,0.4152648274536192,0.5470588235294118,0.7153846153846154,0.6992481203007519,0.42494589809167815,0.406015037593985,0.707270349724749,0.41531879354565854,0.3435714035989787,0.6564285964010212,0.825,14,0.175,0.9,0.782608695652174,0.8372093023255814,0.6574382586514258
32768,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725005,0.57715326313275,0.8625,11,0.1375,0.875,0.8536585365853658,0.8641975308641976,0.7252266687565153
