block_size,method,rand,adjusted-rand,jaccard,left-wallace,right-wallace,adjusted-left-wallace,adjusted-right-wallace,fowlkes-mallows,adjusted-fowlkes-mallows,mutual-information,nid,classification,incongruence,normalized-incongruence
9216,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725016,0.5771532631327498,0.8625,11,0.1375
10240,newman,0.6759493670886076,0.35231385108086466,0.5174363807728558,0.7038461538461539,0.6614457831325301,0.3761025641025641,0.331355421686747,0.682316693651554,0.3526603007196324,0.3074101695961334,0.6925898304038667,0.8,16,0.2
11264,newman,0.6759493670886076,0.35231385108086466,0.5174363807728558,0.7038461538461539,0.6614457831325301,0.3761025641025641,0.331355421686747,0.682316693651554,0.3526603007196324,0.3074101695961334,0.6925898304038667,0.8,16,0.2
12288,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725016,0.5771532631327498,0.8625,11,0.1375
13312,newman,0.7075949367088608,0.41539595079446434,0.5501460564751705,0.7243589743589743,0.6958128078817734,0.4329260149572649,0.3992302955665024,0.7099424285553578,0.4155650843060609,0.3545207332441122,0.6454792667558877,0.825,14,0.175
14336,newman,0.7417721518987341,0.48352775285219846,0.5870445344129555,0.7435897435897436,0.7360406091370558,0.4884744884744885,0.4786802030456853,0.7398055473027098,0.48354024468603124,0.3973126097494865,0.6026873902505134,0.85,12,0.15
15360,newman,0.7243670886075949,0.4487562587622672,0.5662350597609562,0.7288461538461538,0.7173501577287066,0.455970695970696,0.44176656151419563,0.723075309647273,0.44878448152861555,0.3696051969873502,0.6303948030126498,0.8375,13,0.1625
16384,newman,0.7243670886075949,0.4487562587622672,0.5662350597609562,0.7288461538461538,0.7173501577287066,0.455970695970696,0.44176656151419563,0.723075309647273,0.44878448152861555,0.3696051969873502,0.6303948030126498,0.8375,13,0.1625
17408,newman,0.7417721518987341,0.48346153846153844,0.5853658536585366,0.7384615384615385,0.7384615384615385,0.48346153846153844,0.48346153846153844,0.7384615384615385,0.48346153846153844,0.3901596952835995,0.6098403047164005,0.85,12,0.15
18432,newman,0.6759493670886076,0.35231385108086466,0.5174363807728558,0.7038461538461539,0.6614457831325301,0.3761025641025641,0.331355421686747,0.682316693651554,0.3526603007196324,0.3074101695961334,0.6925898304038667,0.8,16,0.2
19456,newman,0.7417721518987341,0.48352775285219846,0.5870445344129555,0.7435897435897436,0.7360406091370558,0.4884744884744885,0.4786802030456853,0.7398055473027098,0.48354024468603124,0.3973126097494865,0.6026873902505134,0.85,12,0.15
20480,newman,0.7417721518987341,0.48352775285219846,0.5870445344129555,0.7435897435897436,0.7360406091370558,0.4884744884744885,0.4786802030456853,0.7398055473027098,0.48354024468603124,0.3973126097494865,0.6026873902505134,0.85,12,0.15
21504,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725016,0.5771532631327498,0.8625,11,0.1375
22528,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725016,0.5771532631327498,0.8625,11,0.1375
23552,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725016,0.5771532631327498,0.8625,11,0.1375
24576,newman,0.6468354430379747,0.29437187860161357,0.4904109589041096,0.6884615384615385,0.6302816901408451,0.3238588334742181,0.26980633802816906,0.6587296122526335,0.29496458262412156,0.26469528184976004,0.7353047181502399,0.775,18,0.225
25600,newman,0.7075949367088608,0.4152648274536192,0.5470588235294118,0.7153846153846154,0.6992481203007519,0.42494589809167815,0.406015037593985,0.707270349724749,0.41531879354565854,0.3435714035989787,0.6564285964010212,0.825,14,0.175
26624,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725016,0.5771532631327498,0.8625,11,0.1375
27648,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725016,0.5771532631327498,0.8625,11,0.1375
28672,newman,0.6759493670886076,0.35231385108086466,0.5174363807728558,0.7038461538461539,0.6614457831325301,0.3761025641025641,0.331355421686747,0.682316693651554,0.3526603007196324,0.3074101695961334,0.6925898304038667,0.8,16,0.2
29696,newman,0.7243670886075949,0.4487562587622672,0.5662350597609562,0.7288461538461538,0.7173501577287066,0.455970695970696,0.44176656151419563,0.723075309647273,0.44878448152861555,0.3696051969873502,0.6303948030126498,0.8375,13,0.1625
30720,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725016,0.5771532631327498,0.8625,11,0.1375
31744,newman,0.7075949367088608,0.4152648274536192,0.5470588235294118,0.7153846153846154,0.6992481203007519,0.42494589809167815,0.406015037593985,0.707270349724749,0.41531879354565854,0.3435714035989787,0.6564285964010212,0.825,14,0.175
